nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Descarga Sobrenatural,0,Truco,Evocación,brujo,Acción,Lanzador,V,Instantáneo,"Lanzas un rayo de energía chisporroteante. Haz un ataque

de conjuro a distancia contra una criatura u objeto dentro

del alcance. Si acierta, el objetivo recibe 1d10 de daño de

do         fuerza.

,            Mejora de truco. El conjuro crea dos rayos a nivel 5,

tres rayos a nivel 11 y cuatro rayos a nivel 17. Puedes

dirigir los rayos al mismo objetivo o a objetivos distintos.

Realiza una tirada de ataque por separado para cada rayo.

n

la

s veces,   Deseo

a          Conjuración de nivel 9 (hechicero, mago)

no

bos

e

de

r          Deseo es el conjuro más poderoso que puede lanzar un

mortal. Solo con decirlo en voz alta, puedes alterar la

propia realidad.

El uso básico de este conjuro es duplicar cualquier otro

conjuro de nivel 8 o inferior. Si lo usas de esta forma,

no necesitas cumplir ningún requisito de dicho conjuro,

incluido cualquier componente costoso. El conjuro

simplemente surte efecto.

Como alternativa, puedes crear uno de los siguientes

efectos a tu elección:

Creación de objetos. Creas un objeto con un valor de

hasta 25 000 po que no sea un objeto mágico. El objeto

rada

no puede medir más de 90 m en cualquier dimensión

y aparecerá en un espacio sin ocupar que puedas ver

.

sobre el suelo.

i

s.

Curación instantánea. Permites que hasta veinte

criaturas que puedas ver y tú recuperéis todos los

puntos de golpe y pones fin a todos los efectos que

sufráis descritos en el conjuro restablecimiento mayor.

Resistencia. Concedes resistencia a un tipo de daño

de tu elección a hasta diez criaturas que puedas ver.

La resistencia es permanente.

Inmunidad a conjuros. Concedes inmunidad a un único

conjuro u otro efecto mágico durante 8 horas a hasta

diez criaturas que puedas ver.

Aprendizaje repentino. Sustituyes una de tus dotes por

otra para la que cumplas los requisitos. Pierdes todos

los beneficios de la dote anterior y obtienes los de la

nueva. No puedes sustituir una dote que funcione como

requisito para cualquiera de tus otras dotes o rasgos.

Rehacer tiradas. Deshaces un solo suceso reciente

obligando a repetir cualquier tirada hecha durante el

último asalto (incluido tu último turno). La realidad

se reconforma para amoldarse al nuevo resultado.

Por ejemplo, un conjuro deseo podría deshacer una

tirada de salvación que falle un aliado o un crítico de

un enemigo. Puedes obligar a que la tirada se repita con

ventaja o desventaja y elegir si usar el nuevo resultado

o el resultado original.

Remodelar la realidad. Puedes desear algo que no se

incluya entre los efectos anteriores. Para ello, explícale

tu deseo de la forma más precisa posible a tu DM, quien

tiene una amplia capacidad para decidir lo que ocurre

en estos casos: cuanto mayor sea el deseo, más posible

es que algo vaya mal. El conjuro simplemente podría

fallar, el efecto que deseas podría conseguirse solo

parcialmente o podrías sufrir una consecuencia

imprevisible debido a cómo has expresado tu deseo.

Por ejemplo, desear que un villano estuviera muerto

podría propulsarte hacia delante en el tiempo hasta

un periodo en el que dicho villano ya no esté vivo,

lo que te excluiría del juego. De forma similar, desear

un objeto mágico legendario o un artefacto podría

transportarte de inmediato ante el actual propietario

de dicho objeto. Si se te concede el deseo y sus efectos

tienen consecuencias para toda una comunidad,

región o mundo, es probable que te ganes enemigos

poderosos. Si el deseo afectase a un dios, sus sirvientes

divinos podrían intervenir al momento para impedirlo

o para animarte a que formules el deseo de una forma

concreta. Si tu deseo fuese a deshacer el propio

multiverso, poner en peligro la ciudad de Sigil o afectar

a la Señora del Dolor de algún modo, verás una imagen

de ella en tu mente por un momento, negará con la

cabeza y el deseo fallará.

La tensión de lanzar deseo para producir cualquier efecto

que no sea duplicar otro conjuro te debilita. Tras soportar

dicha tensión, cada vez que lances un conjuro hasta

que finalices un descanso largo, recibirás 1d10 de daño

necrótico por cada nivel de ese conjuro. Este daño no

se puede reducir ni prevenir de ningún modo. Además,

tu puntuación de Fuerza se convierte en 3 durante

2d4 días. Por cada uno de esos días que pases descansando

y haciendo únicamente actividades ligeras, tu tiempo de

recuperación restante se reduce en 2 días. Por último,

hay un 33 % de probabilidad de que no puedas volver

a lanzar nunca deseo si sufres esta tensión.",ok,Resumir
Desintegrar,6,Nivel 6,Transmutación,hechicero; mago,Acción,18 m,"V, S, M (un imán natural y polvo)",Instantáneo,"Lanzas un rayo verde hacia un objetivo que puedas ver

dentro del alcance. El objetivo puede ser una criatura,

un objeto no mágico o una creación de fuerza mágica,

como una pared creada por muro de fuerza.

Una criatura que sea objetivo de este conjuro deberá

hacer una tirada de salvación de Destreza. Si la falla,

recibirá 10d6 + 40 de daño de fuerza. Si este daño reduce

sus puntos de golpe a O, la criatura y todos los objetos no

mágicos que vista o lleve quedarán reducidos a un polvo

gris. La criatura solo puede ser devuelta a la vida mediante

un conjuro deseo o resurrección verdadera.

Este conjuro desintegra automáticamente cualquier

objeto no mágico de tamaño Grande o más pequeño

o cualquier creación de fuerza mágica. Si el objetivo es

Enorme o mayor, el conjuro desintegrará una parte de

él con forma de cubo de 3 m de lado.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 3d6 por cada nivel por encima de 6 que tenga

el espacio.",pendiente,
Despertar,5,Nivel 5,Transmutación,bardo; druida,8 horas,Toque,"V, S, M (un ágata que valga al menos",Instantáneo,"1000 po y que se consume como parte del conjuro)

Dedicas el tiempo de lanzamiento a trazar surcos mágicos

dentro de una piedra preciosa y luego tocas al objetivo,

que debe ser una criatura de tipo “bestia” o “planta” con

una puntuación de Inteligencia de 3 o menos o una planta

natural que no sea una criatura. El objetivo obtiene una

Inteligencia de 10 y la capacidad de hablar un idioma que

conoces. Si el objetivo es una planta natural, se convierte

en una criatura de tipo “planta” y obtiene la capacidad

de mover sus miembros, raíces, ramas, enredaderas,

etc., así como unos sentidos similares a los de una

persona. Tu DM elegirá el perfil adecuado para la planta

despertada, por ejemplo el del arbusto despertado o el

del árbol despertado del Manual de monstruos.

El objetivo despertado tiene el estado de hechizado

durante 30 días o hasta que tú o tus aliados le causéis

daño. Cuando termine el estado, la criatura despertada

decidirá su actitud hacia ti.",pendiente,
Desplazamiento,3,Nivel 3,Transmutación,hechicero; mago,Acción,Lanzador,"V, S",1 minuto,"Tira 1d6 al final de cada uno de tus turnos hasta que el

conjuro termine. Si el resultado es 4-6, desapareces de

tu plano de existencia actual y apareces en el Plano Etéreo

(el conjuro termina al instante si ya estabas en ese plano).

Mientras estás en el Plano Etéreo, puedes percibir lo que

sucede en el plano del que procedes, que se muestra en

distintos tonos de gris, pero no puedes ver nada que esté

a más de 18 m. Solo puedes afectar a criaturas que estén

en el Plano Etéreo y solo estas criaturas te pueden afectar

a ti. Las criaturas que estén en el otro plano no pueden

percibirte en el Plano Etéreo a menos que tengan una

capacidad especial que les permita percibir cosas en el

Plano Etéreo.

Al principio de tu siguiente turno, y si el conjuro

acaba mientras estás en el Plano Etéreo, volverás al

otro plano y aparecerás en un espacio sin ocupar de tu

elección que puedas ver a 3 m o menos del espacio que

hayas abandonado. Si no hay ningún espacio sin ocupar

en ese alcance, aparecerás en el espacio sin ocupar más

cercano.",pendiente,
Desplazamiento Entre Planos,7,Nivel 7,Conjuración,,Acción,Toque,"V, S, M (una vara de metal con forma de",Instantáneo,"horquilla que valga al menos 250 po y esté sintonizada

con un plano de existencia)

Tú y hasta ocho criaturas voluntarias que unan sus manos

formando un círculo sois transportadas a un plano de

existencia distinto. Puedes especificar un destino en

términos generales, como la Ciudad de Oropel en el Plano

Elemental del Fuego o el palacio de Dispater en el segundo

nivel de los Nueve Infiernos, y apareceréis en ese destino

o cerca de él, según decida tu DM.

Como alternativa, si conoces la secuencia de sellos

de un círculo de teletransportación en otro plano de

existencia, este conjuro puede llevarte hasta dicho

círculo. Si el círculo de teletransportación es demasiado

pequeño como para que quepan todas las criaturas que

has transportado, aparecerán en los espacios sin ocupar

más cercanos a él.",rechazado,
Destierro,4,Nivel 4,Abjuración,brujo; clérigo; hechicero; mago; paladín,Acción,9 m,"V, S, M (un pentáculo)","Concentración, hasta 1 minuto","Una criatura que puedas ver dentro del alcance deberá

superar una tirada de salvación de Carisma o se

teletransportará a un semiplano inofensivo hasta que

termine el conjuro. Mientras permanezca allí, tendrá

el estado de incapacitada. Cuando el conjuro termine,

el objetivo reaparecerá en el espacio que abandonó o en

el espacio sin ocupar más cercano si dicho espacio está

ocupado.

Si el conjuro dura 1 minuto y el objetivo es una

aberración, un celestial, un elemental, un feérico o un

infernal, no regresará. En vez de ello, se teletransportará

a un lugar aleatorio de un plano (a elección de tu DM)

relacionado con su tipo de criatura.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una criatura adicional por cada nivel

por encima de 4 que tenga el espacio.",pendiente,
Detectar el Bien y el Mal,1,Nivel 1,Adivinación,clérigo; paladín,Acción,Lanzador,"V, S ago)   Duración: Concentración, hasta 10 minutos",,"Hasta que el conjuro termine, percibes la ubicación de

cualquier aberración, celestial, elemental, feérico, infernal

o muerto viviente a 9 m o menos de ti. También percibes

si hay un conjuro consagrar activo en el espacio y su

ubicación.

El conjuro no puede atravesar 30 cm de piedra, tierra

o madera, 2,5 cm de metal o una lámina fina de plomo.",rechazado,
Detectar Magia,1,Nivel 1,Adivinación,,Acción o ritual,Lanzador,"V, S","Concentración, hasta 10 minutos","explorador, hechicero, mago, paladín)

Hasta que el conjuro termine, podrás percibir la presencia

de efectos mágicos a 9 m o menos de ti. Si percibes alguno,

puedes usar una acción de magia para ver una débil aura

alrededor de cualquier objeto o criatura visible dentro de

la zona que esté afectada por la magia y, si el efecto lo creó

un conjuro, distingues a qué escuela mágica pertenece.

El conjuro no puede atravesar 30 cm de piedra, tierra

o madera, 2,5 cm de metal o una lámina fina de plomo.",ok,
Detectar Pensamientos,2,Nivel 2,Adivinación,bardo; hechicero; mago,Acción,Lanzador,"V, S, M (1 pieza de cobre)","Concentración, hasta 1 minuto","Activas uno de los siguientes efectos. Hasta que el conjuro

termine, puedes activar cualquiera de ellos como acción

de magia en tus siguientes turnos.

Sentir pensamientos. Percibes la presencia de

pensamientos que pertenecen a criaturas que conozcan

idiomas o sean telepáticas a 9 m o menos de ti. No lees

sus pensamientos, pero sabes que hay una criatura

pensante cerca.

El conjuro no puede atravesar 30 cm de piedra, tierra

o madera, 2,5 cm de metal o una lámina fina de plomo.

Leer pensamientos. Haces objetivo a una criatura que

puedas ver a 9 m o menos de ti o a una criatura a 9 m

o menos de ti que hayas detectado con la opción de sentir

pensamientos y averiguas lo principal que ocupa su mente

en ese momento. Si el objetivo no conoce ningún idioma

o no es telepático, no descubres nada.

Como acción de magia en tu próximo turno, puedes

intentar sondear en profundidad su mente. Si lo haces,

el objetivo hará una tirada de salvación de Sabiduría.

Si la falla, descubrirás su forma de razonar, sus emociones

y algo que sea de gran importancia en su mente

(una preocupación o algo que ame u odie). Si la supera,

el conjuro terminará. De cualquier forma, el objetivo sabrá

que estás sondeando su mente y, a menos que desplaces

tu atención, podrá usar una acción en su turno para hacer

una prueba de Inteligencia (Conocimiento arcano) contra

tu CD de salvación de conjuros; si la supera, el conjuro

terminará.",pendiente,
Detectar Trampas,2,Nivel 2,Adivinación,clérigo; druida; explorador,Acción,36 m,"V, S",Instantáneo,"Detectas cualquier trampa dentro del alcance que esté

en tu línea de visión. En lo que a este conjuro respecta,

una trampa incluye cualquier objeto o mecanismo

que fuese creado para causar un daño u otro peligro.

Por tanto, el conjuro detectaría los conjuros alarma

y glifo custodio o una trampa de pozo mecánica, pero

no revelaría una debilidad natural del suelo, un techo

inestable o un socavón oculto.

Este conjuro alerta de la existencia de una trampa,

pero no te indica su ubicación. Aun así, descubres la

naturaleza general del peligro que supone una trampa

que detectas.",pendiente,
Detectar Venenos y Enfermedades,1,Nivel 1,Adivinación,clérigo; druida; explorador; paladín,Acción o ritual,9 m,"V, S, M (una gota de mercurio)",1 hora,"Hasta que el conjuro termine, percibes la ubicación de

venenos, criaturas venenosas y enfermedades mágicas

a 9 mo menos de ti, e identificas el tipo de veneno,

criatura o enfermedad en cada caso.

El conjuro no puede atravesar 30 cm de piedra, tierra

o madera, 2,5 cm de metal o una lámina fina de plomo.

DIsco FLOTANTE DE TENSER

Conjuración de nivel1 (mago)

Este conjuro crea un plano de fuerza horizontal de 90 cm

de diámetro y 2,5 cm de grosor que flota 90 cm por

encima del suelo en un espacio sin ocupar de tu elección

que puedas ver dentro del alcance. El disco dura hasta

que termina el conjuro y puede soportar un peso de hasta

250 kg. Si se pone más peso sobre él, el conjuro termina

y todo lo que hay en el disco cae al suelo.

El disco permanecerá inmóvil mientras estés a 6 m

o menos de él. Si te alejas a más de 6 m de él, te seguirá

para mantenerse a 6 m de ti. Se puede mover por terreno

irregular y subir y bajar escaleras, pendientes y similares,

pero no puede superar un cambio de elevación de 3 m o más.

Por ejemplo, el disco no puede cruzar un pozo de 3 m de

profundidad ni salir de él si se crea en el fondo de este.

Si te alejas más de 30 m del disco (normalmente,

porque no pueda superar un obstáculo para seguirte),

el conjuro termina.

SE PLEDA

ESQUELÉTICOS DEPOSITAR RIQUEZAS EN UN DISCO

FLOTANTE DE TENSER.",ok,
Disfrazarse,1,Nivel 1,Ilusionismo,bardo; hechicero; mago,Acción,Lanzador,"V, S",1 hora,"Haces que tu aspecto (incluyendo tu vestimenta,

armadura, armas y otras posesiones que lleves contigo)

parezca diferente hasta que el conjuro termine. Puedes

aparentar tener una altura 30 cm mayor o menor y una

complexión más pesada o ligera. Debes adoptar una form

que tenga la misma configuración de miembros que tú.

Por lo demás, la ilusión puede modificar todo lo que

quieras de tu aspecto.

Los cambios realizados por este conjuro pueden

descubrirse mediante una inspección física. Por ejempl

si usas este conjuro para añadir un sombrero a tu

vestimenta, los objetos atravesarán el sombrero

y cualquiera que lo toque no sentirá nada.

Para darse cuenta de que te has disfrazado, una cria

debe emplear la acción de estudiar para inspeccionar

tu apariencia y superar una prueba de Inteligencia

(Investigación) contra tu CD de salvación de conjuros.",ok,Se puede actualizar
Disipar el Bien y el Mal,5,Nivel 5,Abjuración,clérigo; paladín,Acción,Lanzador,"V, S, M (plata y hierro en polvo)","Concentración, hasta 1 minuto","Hasta que termine el conjuro, celestiales, elementales,

feéricos, infernales y muertos vivientes tendrán desventaja

en las tiradas de ataque contra ti. Puedes poner fin al conjuro

anticipadamente si usas cualquiera de las siguientes

a      funciones especiales.

Despido. Como acción de magia, haces objetivo a una

criatura que puedas ver a 1,5 m o menos de ti que tenga

uno de los tipos de criatura anteriores. El objetivo

deberá superar una tirada de salvación de Carisma o será

o,     devuelto a su plano natal si no está allí ya. Si no están

en su plano natal, los muertos vivientes son enviados al

Páramo Sombrío, y los feéricos, a los Parajes Feéricos.

Romper encantamiento. Como acción de magia,

tura   tocas a una criatura que tenga los estados de asustada

o hechizada o esté poseída por una o más criaturas de los

tipos anteriores. La criatura objetivo deja de estar poseída,

asustada o hechizada por dichas criaturas.",pendiente,
Disipar Magia,3,Nivel 3,Abjuración,,Acción,18 m,"V, S","Concentración, hasta 1 minuto","hechicero, mago, paladín)

Elige una criatura, un objeto o un efecto mágico dentro

del alcance. Cualquier conjuro activo de nivel 3 o inferior

presente en el objetivo termina. Para cada conjuro activo

de nivel 4 o superior, haz una prueba de característica

usando tu aptitud mágica (CD 10 más el nivel de ese

conjuro). Si superas la tirada, el conjuro termina.

Con un espacio de conjuro de nivel superior. Disipas

automáticamente un conjuro sobre el objetivo cuyo nivel

sea menor o igual al nivel del espacio de conjuro que

hayas utilizado.

Una CLÉRIGA TIEFLING LANZA DISIPAR EL

BIEN Y EL MAL PARA EXPULSAR UN ESPÍRITU

MALIGNO DE UNA INOCENTE POSEÍDA.

DOMINAR BESTIA

ador,   Encantamiento de nivel 4 (druida, explorador, hechicero)

Una bestia que puedas ver dentro del alcance deberá

superar una tirada de salvación de Sabiduría o tendrá

el estado de hechizada hasta que termine el conjuro.

El objetivo tiene ventaja en la tirada si está luchando

contra ti o tus aliados. Siempre que reciba daño, repetirá

la tirada de salvación y, si tiene éxito, se librará del

conjuro.

Tendrás un vínculo telepático con el objetivo hechizado

mientras estéis en el mismo plano de existencia. En tu

turno, puedes usar este vínculo para dar órdenes al

objetivo (no requiere acción), como “ataca a esa criatura”,

“muévete hacia allí” o “tráeme ese objeto”. En su turno,

el objetivo hace todo lo posible por obedecer. Si lleva

a cabo una orden y no recibe más instrucciones de

tu parte, actúa y se mueve libremente y se centra en

protegerse.

Puedes ordenarle al objetivo que lleve a cabo reacciones,

pero para ello deberás usar tu propia reacción.

Con un espacio de conjuro de nivel superior. Tu concen-

tración puede durar más con un espacio de conjuro de

nivel 5 (hasta 10 minutos), 6 (hasta 1 hora) o 7 o más

(hasta 8 horas).

CAPÍTULO 7       | CONJUROS",ok,Solo objetos y hechizos
Dominar Monstruo,8,Nivel 8,Encantamiento,bardo; brujo; hechicero; mago,Acción,18 m,"V, S","Concentración, hasta 1 hora","Una criatura que puedas ver dentro del alcance deberá

superar una tirada de salvación de Sabiduría o tendrá

el estado de hechizada hasta que termine el conjuro.

El objetivo tiene ventaja en la tirada si está luchando

contra ti o tus aliados. Siempre que reciba daño, repetirá

la tirada de salvación y, si tiene éxito, se librará del

conjuro.

Tendrás un vínculo telepático con el objetivo hechizado

mientras estéis en el mismo plano de existencia. En tu

turno, puedes usar este vínculo para dar órdenes al

objetivo (no requiere acción), como “ataca a esa criatura”,

“muévete hacia allí” o “tráeme ese objeto”. En su turno,

el objetivo hace todo lo posible por obedecer. Si lleva

a cabo una orden y no recibe más instrucciones de

tu parte, actúa y se mueve libremente y se centra en

protegerse.

Puedes ordenarle al objetivo que lleve a cabo reacciones,

pero para ello deberás usar tu propia reacción.

Con un espacio de conjuro de nivel superior. Tu concen-

tración puede durar más con un espacio de conjuro de

nivel 9 (hasta 8 horas).",pendiente,
Dominar Persona,5,Nivel 5,Encantamiento,bardo; hechicero; mago,Acción,18 m,"V, S","Concentración, hasta 1 minuto","Un humanoide que puedas ver dentro del alcance deberá

superar una tirada de salvación de Sabiduría o tendrá

el estado de hechizado hasta que termine el conjuro.

El objetivo tiene ventaja en la tirada si está luchando

contra ti o tus aliados. Siempre que reciba daño, repetirá

la tirada de salvación y, si tiene éxito, se librará del

conjuro.

Tendrás un vínculo telepático con el objetivo hechizado

mientras estéis en el mismo plano de existencia. En tu

turno, puedes usar este vínculo para dar órdenes al

objetivo (no requiere acción), como “ataca a esa criatura”,

“muévete hacia allí” o “tráeme ese objeto”. En su turno,

el objetivo hace todo lo posible por obedecer. Si lleva

a cabo una orden y no recibe más instrucciones de

tu parte, actúa y se mueve libremente y se centra en

protegerse.

Puedes ordenarle al objetivo que lleve a cabo reacciones,

pero para ello deberás usar tu propia reacción.

Con un espacio de conjuro de nivel superior.

Tu concentración puede durar más con un espacio de

conjuro de nivel 6 (hasta 10 minutos), 7 (hasta 1 hora)

u 8 o más (hasta 8 horas).",pendiente,
Don de Lenguas,3,Nivel 3,Adivinación,bardo; brujo; clérigo; hechicero; mago,Acción,Toque,"V, M (un zigurat en miniatura)",1 hora,"Este conjuro permite a la criatura que toques comprender

cualquier idioma hablado que oiga o lengua de signos que

vea. Asimismo, cuando el objetivo se comunica oralmente

o mediante signos, cualquier criatura que conozca al

menos un idioma podrá entenderlo si lo escucha hablar

o lo ve signar.",pendiente,
Dormir,1,Nivel 1,Encantamiento,bardo; hechicero; mago,Acción,18 m,"V, S, M (una pizca de arena o pétalos","Concentración, hasta 1 minuto","de rosa)

Todas las criaturas de tu elección en una esfera de 1,5 m

de radio centrada en un punto dentro del alcance deben

superar una tirada de salvación de Sabiduría o tendrán

el estado de incapacitadas hasta el final de su siguiente

turno, momento en el que deberán repetir la tirada de

salvación. Si un objetivo falla la segunda tirada, tendrá

el estado de inconsciente hasta que termine el conjuro.

El conjuro termina sobre un objetivo si recibe daño

o si alguien a 1,5 m o menos de él emplea una acción

para zarandearlo y poner fin al efecto del conjuro.

Las criaturas que no duermen, como los elfos, o que

tengan inmunidad al estado de cansancio superan

automáticamente las tiradas de salvación contra este

conjuro.",ok,
Duelo Forzado,1,Nivel 1,Encantamiento,paladín,Acción adicional,9 m,V,"Concentración, hasta 1 minuto","Intentas forzar a una criatura a batirse en duelo,

Una criatura que puedas ver dentro del alcance realiza

una tirada de salvación de Sabiduría. Si la falla, el objetivo

tendrá desventaja en las tiradas de ataque contra criaturas

que no seas tú y no podrá moverse voluntariamente

a ningún espacio que se encuentre a más de 9 m de ti.

El conjuro termina si haces una tirada de ataque

contra una criatura distinta al objetivo, si lanzas un

conjuro contra un enemigo distinto a él, si uno de tus

aliados hace daño al objetivo o si terminas tu turno a más

de 9 m de él.",ok,
Dulce Descanso,2,Nivel 2,Nigromancia,clérigo; mago; paladín,Acción o ritual,Toque,"V, S, M (2 piezas de cobre, que se consumen",10 días,"como parte del conjuro)

Tocas un cadáver u otro tipo de restos mortales. Hasta

que termine el conjuro, el objetivo está protegido de la

descomposición y no se puede convertir en un muerto

viviente.

El conjuro también amplía el tiempo máximo para

resucitar al objetivo, ya que los días que pasa bajo

su influencia no cuentan para el límite de tiempo

de conjuros como alzar a los muertos.",pendiente,
Elementalismo,0,Truco,Transmutación,druida; hechicero; mago,Acción,9 m,"V, S",Instantáneo,"Controlas los elementos y creas uno de los siguientes

efectos dentro del alcance:

Esculpir los elementos. Haces que la tierra, arena, fuego,

humo, niebla o agua que quepan en un cubo de 30 cm de

lado adopten una forma tosca (como la de una criatura)

durante 1 hora.

Invocar el agua. Creas un rocío de fría niebla que

humedece ligeramente a las criaturas y objetos en un

cubo de 1,5 m de lado. Como alternativa, creas una taza

de agua limpia, ya sea en un recipiente abierto o sobre

una superficie, y el agua se evapora al cabo de 1 minuto.

Invocar el aire. Creas una brisa lo bastante fuerte como

para ondear telas, remover polvo, agitar hojas y cerrar

puertas y contraventanas abiertas en un cubo de 1,5 m

de lado. Las puertas y contraventanas que algo o alguien

mantenga abiertas no se ven afectadas.

Invocar el fuego. Creas una fina nube de ascuas

inofensivas y un humo de color perfumado en un cubo

de 1,5 m de lado. Tú eliges el color y el olor, y las ascuas

pueden encender velas, antorchas o lámparas dentro de

la zona. El aroma del humo permanece durante 1 minuto.

Invocar la tierra. Creas una fina capa de polvo o arena

que cubre superficies en una zona de 1,5 m de lado o haces

que aparezca una sola palabra escrita con tu letra en una

superficie de tierra o arena.",rechazado,
Embelesar,2,Nivel 2,Encantamiento,bardo; brujo,Acción,18 m,"V, S","Concentración, hasta 1 minuto","Creas una serie de palabras encantadoras que provocan

que una o más criaturas de tu elección a las que puedas

ver dentro del alcance deban hacer una tirada de salvación

de Sabiduría. Cualquier criatura contra la que luchéis

tus aliados o tú superará automáticamente esta tirada.

Si la falla, el objetivo sufrirá un penalizador de -10 a las

pruebas de Sabiduría (Percepción) y a la Percepción pasiva

hasta que el conjuro termine.",pendiente,
Encantar Animal,1,Nivel 1,Encantamiento,bardo; druida; explorador,Acción,9 m,"V, S, M (unas migajas de comida)",24 horas,"Haces objetivo a una bestia que puedas ver dentro del

alcance. El objetivo deberá superar una tirada de salvación

de Sabiduría o tendrá el estado de hechizado hasta que

termine el conjuro. Si alguno de tus aliados o tú dañáis

al objetivo, el conjuro termina.

Con un espacio de conjuro de nivel superior. Puedes

hacer objetivo a una bestia adicional por cada nivel

por encima de 1 que tenga el espacio.",ok,
Encontrar el Camino,6,Nivel 6,Adivinación,bardo; clérigo; druida,1 minuto,Lanzador,"V, S, M (un juego de herramientas de","Concentración, hasta 1 día","adivinación, como cartas o runas, que valga al menos

100 po)

Percibes mágicamente el camino físico más corto hacia

un lugar que nombres. Debes estar familiarizado con

él, y el conjuro fallará si nombras un destino en otro

plano de existencia, un destino que se mueva (como una

fortaleza ambulante) o un destino inespecífico (como

“la guarida de un dragón verde”).

Hasta que termine el conjuro y mientras estés en el

mismo plano de existencia que el destino, sabrás lo lejos

que está y en qué dirección se halla. Cuando te topes con

una encrucijada mientras vas al destino, identificarás qué

camino es el más corto.

Los ESPÍRITUS INVOCADOS CON

ENCONTRAR FAMILIAR ADOPTAN

FORMAS INSPIRADAS EN LOS MAGOS

QUE LOS CONJURAN.",pendiente,
Encontrar Familiar,1,Nivel 1,Conjuración,mago,1 hora o un ritual,3 m,S,"Instantáneo menos 10 po, que se consume como parte del conjuro) Obtienes los servicios de un familiar, un espíritu que adopta una forma animal de tu elección: araña, búho, comadreja, cuervo, gato, halcón, lagarto, murciélago, pulpo, rana, rata u otra bestia con un valor de desafí de O. El familiar, que aparecerá en un espacio sin ocupar dentro del alcance, tiene el perfil de la forma elegida (consulta el apéndice B), aunque es un celesti un feérico o un infernal (a tu elección) en vez de una bestia. Tu familiar actúa con independencia de ti, per obedece tus órdenes. Conexión telepática. Mientras tu familiar esté a 30 o menos de ti, puedes comunicarte con él telepáticamen Además, como acción adicional, puedes ver a través de sus ojos y escuchar lo que oiga hasta el principio de siguiente turno, y también obtienes los beneficios de cualquier sentido especial que tenga. Por último, cuando lances un conjuro con un alcance de toque, puedes hacer que tu familiar sea quien toque al objetivo. Tu familiar debe estar a 30 m o menos de y debe usar una reacción para tocar al objetivo cuando lances el conjuro. Combate. El familiar se considera un aliado para tus aliados y para ti, tira su propia iniciativa y actúa e propio turno. Un familiar no puede atacar, pero puede realizar otras acciones de manera normal. 276   CAPÍTULO 7 | CONJUROS Desaparición del familiar. Si los puntos de golpe del familiar se reducen a O, desaparecerá y reaparecerá después de que vuelvas a lanzar este conjuro. Como acción de magia, puedes hacer que el familiar se retire temporalmente a una dimensión de bolsillo. Como alternativa, puedes hacer que se desvanezca para siempre. Como acción de magia l      mientras esté desaparecido temporalmente, puedes hacer que reaparezca en un espacio sin ocupar a 9 m o menos de ti. Siempre que sus puntos de golpe se reduzcan a O o que el familiar se retire a la dimensión de bolsillo, dejará en el espacio que ocupaba cualquier cosa que vistiera o llevase.","Un solo familiar. No puedes tener más de un familiar al

mismo tiempo. Si lanzas este conjuro mientras tengas un

o

familiar, harás que adopte una nueva forma que cumpla

los requisitos.

al,

o      ENGAÑAR

Ilusionismo de nivel 5 (bardo, brujo, mago)

m      Tiempo de lanzamiento: Acción

te.    Alcance: Lanzador

tu     Duración: Concentración, hasta 1 hora

Obtienes el estado de invisible al mismo tiempo que un

doble ilusorio de ti aparece en tu sitio. El doble permanece

hasta que termine el conjuro, pero la invisibilidad acaba

ti     de inmediato después de que hagas una tirada de ataque,

causes daño o lances un conjuro.

Como acción de magia, puedes hacer que tu doble

ilusorio se mueva hasta el doble de tu velocidad y hacer

n su   que realice gestos, hable y se comporte del modo que

quieras. El doble es intangible e invulnerable.

MA

Puedes ver a través de sus ojos y oír con sus oídos como

si estuvieras en su ubicación.                                    z",ok,
Enlace Telepático de Rary,5,Nivel 5,Adivinación,bardo; mago,Acción o ritual,9 m,"V, S, M (dos huevos)",1 hora,"Forjas un enlace telepático entre hasta ocho criaturas

voluntarias de tu elección dentro del alcance y las vinculas

psíquicamente unas con otras hasta que termine el conjuro.

Las criaturas que no pueden comunicarse mediante idiomas

no se ven afectadas.

Hasta que el conjuro termine, los objetivos se pueden

comunicar telepáticamente usando el enlace, tanto si

comparten idioma como si no. Esta comunicación se

puede producir a cualquier distancia, pero no se extiende

a otros planos de existencia.",pendiente,
Enmarañar,1,Nivel 1,Conjuración,druida; explorador,Acción,27 m,"V, S","Concentración, hasta 1 minuto","UN DRUIDA DRACÓNIDO EMPLEA

ENMARAÑAR PARA DETENER A UNOS

GNOLLS a”

Unas plantas apresadoras surgen del suelo en un cuadrado

de 6 m de lado dentro del alcance. Hasta que termine el

conjuro, estas plantas convertirán la zona en terreno

difícil y desaparecerán cuando el conjuro termine.

Cada criatura (excepto tú) que esté en la zona cuando

lances el conjuro deberá superar una tirada de salvación

de Fuerza o tendrá el estado de apresada hasta que el

conjuro termine. Una criatura apresada puede emplear

una acción para hacer una prueba de Fuerza (Atletismo)

contra tu CD de salvación de conjuros. Si la supera, se

liberará de las plantas y dejará de estar apresada por ellas.",ok,
